Internal ID,Name,Description,Bin Number
25449,"1"" BALL VALVE","1"" BALL VALVE- SS316, 150 CLASS, RF, FP.",5A4F
25448,"1"" PISTON CHECK VALVE","1"" PISTON CHECK VALVE- 150 CLASS, RF, SS316/ 316L",5A4F
24735,"2"" SWING CHECK VALVE","2"" SWING CHECK VALVE- 150 CLASS, RF, BC, RB, SS316/316L TRIM, NACE",5A4F
11033,30RVP6072,"AUTOCLAVE PRESSURE RELIEF VALVE - 316SS - 3/8 H.P. FEMALE INLET - 3/4 NPT FEMALE OUTLET - 20,000 - 30,000 PSIG (NOT PRE-SET)",4C8D
158,APZ250TOOL,(DISC) --- 1250 SERIES ZEE PACKING INSTALLATION TOOL,DISC
24773,AT1ANSA04,ADJUSTER NUT ASSEMBLY - 1/4 IN - ATP,6C4A
24774,AT1ANSA06,ADJUSTER NUT ASSEMBLY - 3/8 IN - ATP,6C5A
24775,AT1ANSA08,ADJUSTER NUT ASSEMBLY - 1/2 IN - ATP,6C6A
18362,ATP0001-01,ATP HOUSING CASTING,MACH
25446,ATP0009-01,BACK FLANGE - ANODIZED ALUMINIUM - ATP,6D5D
20181,ATP0010-01,HOUSING - ANODIZED ALUMINIUM - ATP,6C1A
20182,ATP0020-01,CENTER HOUSING - ALUMINIUM - ATP,6D1A
20183,ATP0030-01,SLIDE ROD - SBN STEEL - ATP,6D2A
20184,ATP0040-01,CARRIAGE END PLATE - SBN STEEL - ATP,6D2B
20384,ATP0060-01,DRIVE CAM - SBN STEEL - ATP,6D2C
20385,ATP0070-01,FRONT COVER - ALUMINIUM - ATP,6C2A
25428,ATP0070-02,FRONT COVER - CLEAR PLASTIC - ATP,6D5B
20387,ATP0090-01,PUMP BRACKET - ALUMINIUM - ATP,6C2B
20785,ATP0100-01,ATP SERIAL NUMBER PLATE,6B3D
20388,ATP0120-01,"ADJUSTMENT NUT - 1/4"" - 304SS - ATP",6D4A
20389,ATP0130-01,"ADJUSTMENT NUT - 3/8"" - 304SS - ATP",6D4B
20390,ATP0140-01,"ADJUSTMENT NUT - 1/2"" - 304SS - ATP",6D4C
20391,ATP0220-01,"PISTON PLUNGER - 1/4"" - MATERIAL - ATP",6C4B
20392,ATP0230-01,"PISTON PLUNGER - 3/8"" - MATERIAL - ATP",6C5B
26939,ATP0230Y-01,PLUNGER - 3/8 -  ATP - ZIRCONIA,6C5C
